,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,muros,42.7762,-9.0603,285.2,83,100,4.74,ES,1647933467
1,puerto ayora,-0.7393,-90.3518,299.57,92,86,2.24,EC,1647933467
2,rikitea,-23.1203,-134.9692,299.68,70,6,5.68,PF,1647933467
3,busselton,-33.65,115.3333,297.47,35,2,2.33,AU,1647933468
4,kruisfontein,-34.0033,24.7314,294.2,62,65,1.62,ZA,1647933468
5,kodiak,57.79,-152.4072,273.88,69,75,6.69,US,1647933468
6,vila,42.0304,-8.1588,279.64,87,100,1.64,PT,1647933468
7,samarai,-10.6167,150.6667,302.06,76,73,2.71,PG,1647933468
8,kapaa,22.0752,-159.319,297.14,83,75,6.69,US,1647933469
9,mataura,-46.1927,168.8643,290.1,78,100,2.06,NZ,1647933469
10,ancud,-41.8697,-73.8203,283.54,84,100,2.27,CL,1647933469
11,chuy,-33.6971,-53.4616,291.8,81,16,5.26,UY,1647933469
12,upernavik,72.7868,-56.1549,245.63,69,100,2.39,GL,1647933470
13,severo-kurilsk,50.6789,156.125,270.6,54,77,8.16,RU,1647933470
14,atuona,-9.8,-139.0333,299.18,79,100,6.8,PF,1647933470
15,morondava,-20.2833,44.2833,299.56,80,100,4.5,MG,1647933470
16,hobart,-42.8794,147.3294,289.96,89,75,3.09,AU,1647933395
17,thompson,55.7435,-97.8558,270.24,93,100,3.6,CA,1647933471
18,airai,-8.9266,125.4092,294.43,77,98,1.03,TL,1647933471
19,kayes,14,-11,300.64,15,100,1.88,ML,1647933471
20,punta arenas,-53.15,-70.9167,285.21,62,75,10.8,CL,1647933471
21,kasane,-17.8167,25.15,295.2,83,20,5.14,BW,1647933472
22,lavrentiya,65.5833,-171,255.89,98,88,1.38,RU,1647933472
23,gracac,44.3006,15.8547,280.01,44,0,3.36,HR,1647933472
24,constitucion,-35.3333,-72.4167,285.87,80,0,3.01,CL,1647933472
25,tobermory,45.2501,-81.6665,273.28,78,14,7.65,CA,1647933473
26,korla,41.7597,86.1469,285.48,44,58,9.99,CN,1647933473
27,pafos,34.7667,32.4167,287.03,28,20,1.54,CY,1647933473
28,saskylakh,71.9167,114.0833,258.6,93,100,3.27,RU,1647933473
29,saldanha,-33.0117,17.9442,293.06,82,12,5.22,ZA,1647933474
30,leningradskiy,69.3833,178.4167,267,90,100,4.11,RU,1647933474
31,ostrovnoy,68.0531,39.5131,272.33,81,100,13.72,RU,1647933474
32,san andres,12.5847,-81.7006,300.16,74,40,6.17,CO,1647933474
33,diamantina,-18.2494,-43.6003,288.52,96,98,2.71,BR,1647933474
34,sao mateus do maranhao,-4.0417,-44.475,295.25,99,75,0.83,BR,1647933475
35,hermanus,-34.4187,19.2345,295.26,83,100,6.31,ZA,1647933475
36,avarua,-21.2078,-159.775,300.18,83,40,2.06,CK,1647933475
37,lenexa,38.9536,-94.7336,283.77,94,100,4.63,US,1647933475
38,ushuaia,-54.8,-68.3,282.96,62,100,8.75,AR,1647933475
39,pevek,69.7008,170.3133,269.75,74,100,11.62,RU,1647933476
40,saint-philippe,-21.3585,55.7679,301.92,89,49,4.33,RE,1647933476
41,mahebourg,-20.4081,57.7,303.85,89,40,1.03,MU,1647933476
42,yuki,36.3,139.8833,274.09,96,100,2.1,JP,1647933477
